college_name,course,location,fees,type,min_percentage,website
Hyderabad B.Tech College 1,B.Tech,Hyderabad,342786,Government,86,https://example1.edu.in
Bangalore BBA College 2,BBA,Bangalore,165104,Government,71,https://example2.edu.in
Mumbai B.Tech College 3,B.Tech,Mumbai,301984,Government,62,https://example3.edu.in
Chennai BA College 4,BA,Chennai,125591,Private,69,https://example4.edu.in
Mumbai BCA College 5,BCA,Mumbai,317772,Private,85,https://example5.edu.in
Bangalore BSc College 6,BSc,Bangalore,118014,Government,61,https://example6.edu.in
Pune BCA College 7,BCA,Pune,326778,Government,70,https://example7.edu.in
Jaipur BA College 8,BA,Jaipur,224508,Government,64,https://example8.edu.in
Kolkata BBA College 9,BBA,Kolkata,163861,Government,75,https://example9.edu.in
Kolkata BSc College 10,BSc,Kolkata,218679,Private,65,https://example10.edu.in
Delhi BBA College 11,BBA,Delhi,25691,Government,91,https://example11.edu.in
Mumbai BA College 12,BA,Mumbai,160635,Private,64,https://example12.edu.in
Bangalore B.Tech College 13,B.Tech,Bangalore,251709,Private,61,https://example13.edu.in
Mumbai B.Tech College 14,B.Tech,Mumbai,179221,Government,93,https://example14.edu.in
Kolkata BCA College 15,BCA,Kolkata,213308,Government,67,https://example15.edu.in
Mumbai BA College 16,BA,Mumbai,270447,Government,90,https://example16.edu.in
Hyderabad B.Tech College 17,B.Tech,Hyderabad,195773,Private,92,https://example17.edu.in
Kolkata BBA College 18,BBA,Kolkata,153392,Government,88,https://example18.edu.in
Lucknow BA College 19,BA,Lucknow,68274,Government,65,https://example19.edu.in
Jaipur B.Tech College 20,B.Tech,Jaipur,56804,Private,75,https://example20.edu.in
Chennai BCA College 21,BCA,Chennai,44825,Private,89,https://example21.edu.in
Delhi BSc College 22,BSc,Delhi,94474,Private,82,https://example22.edu.in
Hyderabad BBA College 23,BBA,Hyderabad,93046,Government,78,https://example23.edu.in
Pune BSc College 24,BSc,Pune,254353,Government,91,https://example24.edu.in
Lucknow BBA College 25,BBA,Lucknow,183276,Government,86,https://example25.edu.in
Jaipur BBA College 26,BBA,Jaipur,303298,Private,95,https://example26.edu.in
Noida BSc College 27,BSc,Noida,36290,Private,66,https://example27.edu.in
Chennai BSc College 28,BSc,Chennai,20761,Private,66,https://example28.edu.in
Lucknow B.Tech College 29,B.Tech,Lucknow,156529,Private,70,https://example29.edu.in
Chennai BSc College 30,BSc,Chennai,234585,Government,92,https://example30.edu.in
Jaipur BCA College 31,BCA,Jaipur,195650,Private,72,https://example31.edu.in
Hyderabad BSc College 32,BSc,Hyderabad,281610,Private,95,https://example32.edu.in
Mumbai B.Tech College 33,B.Tech,Mumbai,105946,Government,72,https://example33.edu.in
Lucknow BCA College 34,BCA,Lucknow,320293,Private,70,https://example34.edu.in
Delhi B.Tech College 35,B.Tech,Delhi,126839,Private,88,https://example35.edu.in
Delhi BSc College 36,BSc,Delhi,153528,Private,60,https://example36.edu.in
Mumbai BA College 37,BA,Mumbai,54345,Government,64,https://example37.edu.in
Chennai BCA College 38,BCA,Chennai,115677,Private,75,https://example38.edu.in
Chennai BA College 39,BA,Chennai,97682,Private,79,https://example39.edu.in
Pune B.Tech College 40,B.Tech,Pune,248557,Government,66,https://example40.edu.in
Jaipur B.Tech College 41,B.Tech,Jaipur,336731,Government,90,https://example41.edu.in
Kolkata BSc College 42,BSc,Kolkata,126441,Government,71,https://example42.edu.in
Kolkata B.Tech College 43,B.Tech,Kolkata,65104,Government,79,https://example43.edu.in
Pune BCA College 44,BCA,Pune,174057,Government,72,https://example44.edu.in
Noida B.Tech College 45,B.Tech,Noida,185735,Government,63,https://example45.edu.in
Noida BBA College 46,BBA,Noida,257391,Government,74,https://example46.edu.in
Bangalore BSc College 47,BSc,Bangalore,222459,Government,89,https://example47.edu.in
Lucknow B.Tech College 48,B.Tech,Lucknow,294298,Government,67,https://example48.edu.in
Jaipur B.Tech College 49,B.Tech,Jaipur,111771,Government,70,https://example49.edu.in
Jaipur B.Tech College 50,B.Tech,Jaipur,128951,Government,70,https://example50.edu.in
Noida BSc College 51,BSc,Noida,211431,Government,82,https://example51.edu.in
Jaipur BBA College 52,BBA,Jaipur,250602,Government,76,https://example52.edu.in
Jaipur B.Tech College 53,B.Tech,Jaipur,49409,Private,92,https://example53.edu.in
Chennai BA College 54,BA,Chennai,148967,Private,88,https://example54.edu.in
Jaipur B.Tech College 55,B.Tech,Jaipur,96499,Private,95,https://example55.edu.in
Noida BA College 56,BA,Noida,270386,Government,62,https://example56.edu.in
Delhi BCA College 57,BCA,Delhi,266847,Private,64,https://example57.edu.in
Pune BSc College 58,BSc,Pune,159020,Government,63,https://example58.edu.in
Pune BSc College 59,BSc,Pune,299099,Government,76,https://example59.edu.in
Chennai B.Tech College 60,B.Tech,Chennai,212411,Government,72,https://example60.edu.in
Jaipur BCA College 61,BCA,Jaipur,232007,Government,67,https://example61.edu.in
Kolkata BA College 62,BA,Kolkata,340852,Private,61,https://example62.edu.in
Mumbai B.Tech College 63,B.Tech,Mumbai,137034,Government,64,https://example63.edu.in
Delhi B.Tech College 64,B.Tech,Delhi,118275,Government,81,https://example64.edu.in
Mumbai BCA College 65,BCA,Mumbai,179648,Government,94,https://example65.edu.in
Pune BA College 66,BA,Pune,223364,Private,84,https://example66.edu.in
Noida BA College 67,BA,Noida,335561,Private,68,https://example67.edu.in
Jaipur B.Tech College 68,B.Tech,Jaipur,327718,Government,74,https://example68.edu.in
Chennai B.Tech College 69,B.Tech,Chennai,250850,Government,75,https://example69.edu.in
Chennai BA College 70,BA,Chennai,133941,Government,65,https://example70.edu.in
Noida B.Tech College 71,B.Tech,Noida,261171,Government,84,https://example71.edu.in
Jaipur B.Tech College 72,B.Tech,Jaipur,270220,Government,65,https://example72.edu.in
Delhi BSc College 73,BSc,Delhi,198154,Government,65,https://example73.edu.in
Lucknow BSc College 74,BSc,Lucknow,193580,Government,85,https://example74.edu.in
Kolkata BBA College 75,BBA,Kolkata,17849,Private,69,https://example75.edu.in
Mumbai BSc College 76,BSc,Mumbai,121528,Government,64,https://example76.edu.in
Noida BSc College 77,BSc,Noida,273628,Private,69,https://example77.edu.in
Kolkata BBA College 78,BBA,Kolkata,255891,Private,90,https://example78.edu.in
Delhi BA College 79,BA,Delhi,342439,Private,78,https://example79.edu.in
Bangalore BSc College 80,BSc,Bangalore,83264,Private,67,https://example80.edu.in
Noida BCA College 81,BCA,Noida,41594,Government,91,https://example81.edu.in
Pune BBA College 82,BBA,Pune,59468,Government,85,https://example82.edu.in
Lucknow BA College 83,BA,Lucknow,27755,Government,95,https://example83.edu.in
Pune BCA College 84,BCA,Pune,24020,Government,90,https://example84.edu.in
Chennai BBA College 85,BBA,Chennai,141844,Private,80,https://example85.edu.in
Noida BBA College 86,BBA,Noida,240052,Private,69,https://example86.edu.in
